"filename", "language", "Rust", "TOML", "Markdown", "comment", "blank", "total"
"/Users/rikka/prjs/nekonet/Cargo.lock", "TOML", 0, 252, 0, 2, 34, 288
"/Users/rikka/prjs/nekonet/Cargo.toml", "TOML", 0, 12, 0, 1, 4, 17
"/Users/rikka/prjs/nekonet/README.md", "Markdown", 0, 0, 2, 0, 0, 2
"/Users/rikka/prjs/nekonet/examples/mnist.rs", "Rust", 149, 0, 0, 0, 34, 183
"/Users/rikka/prjs/nekonet/src/data_util.rs", "Rust", 57, 0, 0, 0, 10, 67
"/Users/rikka/prjs/nekonet/src/dev/mod.rs", "Rust", 1, 0, 0, 0, 0, 1
"/Users/rikka/prjs/nekonet/src/dev/tensor.rs", "Rust", 44, 0, 0, 0, 8, 52
"/Users/rikka/prjs/nekonet/src/graph.rs", "Rust", 63, 0, 0, 3, 15, 81
"/Users/rikka/prjs/nekonet/src/layer.rs", "Rust", 44, 0, 0, 47, 20, 111
"/Users/rikka/prjs/nekonet/src/layer/activation.rs", "Rust", 25, 0, 0, 6, 8, 39
"/Users/rikka/prjs/nekonet/src/layer/criterion.rs", "Rust", 47, 0, 0, 0, 8, 55
"/Users/rikka/prjs/nekonet/src/lib.rs", "Rust", 18, 0, 0, 0, 2, 20
"/Users/rikka/prjs/nekonet/src/main.rs", "Rust", 127, 0, 0, 0, 33, 160
"/Users/rikka/prjs/nekonet/src/optimizer.rs", "Rust", 37, 0, 0, 0, 9, 46
"/Users/rikka/prjs/nekonet/src/tensor.rs", "Rust", 252, 0, 0, 4, 61, 317
"/Users/rikka/prjs/nekonet/src/tensor/operation.rs", "Rust", 63, 0, 0, 0, 17, 80
"/Users/rikka/prjs/nekonet/src/tensor/tensor_func.rs", "Rust", 48, 0, 0, 0, 10, 58
"/Users/rikka/prjs/nekonet/src/tensor/tensor_func/basic.rs", "Rust", 424, 0, 0, 6, 89, 519
"/Users/rikka/prjs/nekonet/src/tensor/tensor_func/compound.rs", "Rust", 117, 0, 0, 1, 26, 144
"/Users/rikka/prjs/nekonet/src/tensor/types.rs", "Rust", 8, 0, 0, 0, 3, 11
"/Users/rikka/prjs/nekonet/src/tensor/util.rs", "Rust", 11, 0, 0, 0, 1, 12
"/Users/rikka/prjs/nekonet/tests/test_activation.rs", "Rust", 32, 0, 0, 0, 9, 41
"/Users/rikka/prjs/nekonet/tests/test_criterion.rs", "Rust", 31, 0, 0, 0, 14, 45
"/Users/rikka/prjs/nekonet/tests/test_layer.rs", "Rust", 17, 0, 0, 0, 6, 23
"/Users/rikka/prjs/nekonet/tests/test_operation.rs", "Rust", 184, 0, 0, 0, 63, 247
"/Users/rikka/prjs/nekonet/tests/test_optimizer.rs", "Rust", 36, 0, 0, 0, 13, 49
"Total", "-", 1835, 264, 2, 70, 497, 2668
